"id","as_name","as_number","country","date","ip_address"
"1895_2022-01-07_20001_76.169.147.192","TWC-20001-PACWEST","20001","US","2022-01-07","76.169.147.192"
"193_2022-12-24_17747_202.142.98.62","SITINETWORS-IN-AP SITI NETWORKS LIMITED","17747","IN","2022-12-24","202.142.98.62"
"827_2022-01-04_4621_202.29.239.161","UNINET-AS-AP UNINET-","4621","TH","2022-01-04","202.29.239.161"
"131_2022-12-25_29802_139.177.146.137","HVC-AS","29802","US","2022-12-25","139.177.146.137"
"66_2022-12-24_15557_91.68.227.219","LDCOMNET","15557","FR","2022-12-24","91.68.227.219"
"5_2022-12-24_63949_66.175.217.172","""LINODE-AP Linode, LLC""","63949","US","2022-12-24","66.175.217.172"
"2250_2022-01-09_25159_62.64.9.237","SONICDUO-AS","25159","RU","2022-01-09","62.64.9.237"
"2420_2022-01-09_51167_5.189.150.29","CONTABO","51167","DE","2022-01-09","5.189.150.29"
"120_2022-12-21_3215_90.89.95.158","France Telecom - Orange","3215","FR","2022-12-21","90.89.95.158"
"257_2022-01-02_14061_139.59.56.73","DIGITALOCEAN-ASN","14061","IN","2022-01-02","139.59.56.73"
"2278_2022-01-09_141911_103.164.180.66","IDNIC-DISKOMINFO-BANGKALAN-AS-ID Dinas Komunikasi dan Informatika Kabupaten Bangkalan","141911","ID","2022-01-09","103.164.180.66"
"647_2022-01-04_13188_159.224.167.102","TRIOLAN","13188","UA","2022-01-04","159.224.167.102"
"1924_2022-01-07_51407_176.67.56.94","MADA-AS","51407","PS","2022-01-07","176.67.56.94"
"34_2022-12-25_53667_104.244.79.94","PONYNET","53667","LU","2022-12-25","104.244.79.94"
"51_2022-12-24_16276_146.59.116.146","OVH","16276","FR","2022-12-24","146.59.116.146"
"236_2022-12-21_132956_103.212.19.254","VNET-AS V NET NETWORKS PVT LTD","132956","IN","2022-12-21","103.212.19.254"
"8_2022-12-24_16276_192.99.150.39","OVH","16276","CA","2022-12-24","192.99.150.39"
"2548_2022-01-10_14061_178.128.83.165","DIGITALOCEAN-ASN","14061","SG","2022-01-10","178.128.83.165"
"93_2022-12-24_12479_80.103.77.44","UNI2-AS","12479","ES","2022-12-24","80.103.77.44"
"2499_2022-01-09_3215_217.128.93.27","France Telecom - Orange","3215","FR","2022-01-09","217.128.93.27"
"32_2022-12-23_20001_172.114.160.81","TWC-20001-PACWEST","20001","US","2022-12-23","172.114.160.81"
"636_2022-01-03_16276_91.121.146.47","OVH","16276","FR","2022-01-03","91.121.146.47"
"2154_2022-01-08_13489_181.129.85.98","EPM Telecomunicaciones S.A. E.S.P.","13489","CO","2022-01-08","181.129.85.98"
"2123_2022-01-08_14061_107.170.4.227","DIGITALOCEAN-ASN","14061","US","2022-01-08","107.170.4.227"
